9,2,2,3,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,10
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,0,0,1,0,0,0,0,0,0,6,2,2,2,2,7,2,2,2,2,5
1,0,0,1,0,0,0,9,2,2,5,0,0,0,0,1,0,0,0,0,1
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
1,0,0,6,2,2,2,5,0,0,6,2,3,2,2,4,2,2,3,2,5
1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1
6,2,2,12,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1
1,0,0,0,0,0,0,1,0,0,1,0,6,2,2,2,2,2,5,0,1
1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1
6,2,2,2,2,3,2,4,2,2,7,2,4,2,3,2,3,2,4,2,5
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
6,2,3,2,2,4,2,2,2,2,7,2,2,2,5,0,6,2,2,2,5
1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
1,0,1,0,0,0,0,0,0,0,6,2,2,2,7,2,7,2,2,2,5
6,2,4,2,2,2,2,3,2,2,5,0,0,0,1,0,1,0,0,0,1
1,0,0,0,0,0,0,1,0,0,6,2,2,2,5,0,6,2,2,2,5
1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
11,2,2,2,2,2,2,4,2,2,4,2,2,2,4,2,4,2,2,2,12
